blocker_id	severity	current_signal	surface_blocked	next_route	owner_needed	codecaptain_needed	exit_gate
B001a_child_source_ads	STOP	Phase31 ads packet acceptance audit found 8 local candidates and 0 accepted current candidates for 2026-05-22; Phase32 prepared a read-only source acquisition boundary/starter but did not fetch because Web_automation/Facebook_ads evidence-output authority needs exact approval or CodeCaptain clearance.	Owner publication, ads profit, ad-spend decisions	After exact Phase32 approval or CodeCaptain clearance, run accepted current ads source acquisition through 2026-05-22; otherwise keep ads publication/profit decisions blocked and do not reuse May4 packets or loose summaries as current truth	no until Phase32 live fetch desired	no unless authority conflict	validate_policy_source_freshness clears src_facebook_ads_external_ads and src_web_automation_kaspi_marketing_directapi or affected outputs remain blocked
B001b_child_source_cashflow	STOP	Phase33 copied-temp registry proof promotes the evidence-only Cash_Balances policy and materializes src_bank_manual_ingest as FRESH with blocks_publication=0; Phase34 copied-temp event-source proof inserts 3680 modeled cashflow events and advances fact_cashflow_events from 2026-05-04 to 2026-05-21 with cashflow invariants and strict order-cashflow coverage passing; C3 still marks src_ab_db_cashflow_truth STALE because requested as-of is 2026-05-22 and fact_cashflow_events has no May22 row.	Cash Risk Daily, owner publication, cash movement guard	Package Phase33/34 Cash_Balances plus event-source proof for CodeCaptain; ask whether a no-eligible-event-day proof can clear same-day event freshness or whether real May22 event source evidence is required; no fake zero events, source-pointer/config lane, cash movement, or publication	no	yes for no-eligible-event-day source contract before production/preflight	validate_policy_source_freshness clears src_ab_db_cashflow_truth plus src_bank_manual_ingest and cashflow invariants pass
B001c_child_source_order_entry	COPIED-TEMP CLOSED / STOP FOR PRODUCTION	Agent14 strict recovery passes in copied-temp via ORDER_ENTRY_NO_REAL_ENTRY_QUARANTINE_COPIED_TEMP_V1; Universal 922898360 and 923528055 are explicitly retained as no-real-entry quarantine rows, 0 synthetic entries inserted, and validate_order_entries_freshness strict passes	Sales truth, profit, stock depletion, owner publication	Package copied-temp no-real-entry quarantine contract for CodeCaptain; do not invent entries and do not production-apply	no	yes before production preflight or apply	CodeCaptain accepts retained no-real-entry quarantine contract or real item-entry evidence is acquired; affected production outputs remain blocked until reviewed
B001d_child_source_order_status	STOP	Phase35 confirms status-ledger current window remains retained: scoped STOREB/ACMEWEAR/UNIVERSAL ledger passes 2026-05-05..2026-05-17 with 1174 rows, gap_count=0, provenance errors=0; the same scoped ledger fails 2026-05-05..2026-05-18 with gaps for all three stores on 2026-05-18; default five-store ledger fails with gap_count=5 and provenance errors=80; day-complete rows 844362551 and 861137901 close in copied-temp proof only	Lifecycle/status, returns/cancellations, owner publication	Acquire exact same-window status ledger source through 2026-05-18 or request scoped/dated status-ledger contract review; do not production-apply day-complete patch without later approval	no	yes before production preflight	validate_policy_source_freshness clears src_ab_db_order_status_truth and lifecycle/status gates pass
B001e_child_source_sales	STOP	Strict sales rebuild passes in copied-temp after owner-confirmed Universal 132822924_328581041 -> CL_NEW-CLO_MEN_LEG_WHITE_XL, but production/source gates remain blocked	Profit, PO demand, stock depletion, owner publication	Package copied-temp identity decision for CodeCaptain; do not production-apply before retained blockers and review clear	no unless sources cannot decide	yes before production preflight	Strict sales rebuild passes and retained source/workbook blockers clear or remain visibly blocked
B001f_child_source_stock	STOP	Physical stock stale, max observed 2026-05-04 vs cutoff 2026-05-17; Phase20 owner fact says no fresher physical stock source currently exists	PO/SKU Daily, stock actions, PO commitment, owner publication	Keep stock source truth retained; do not re-ask for fresher stock unless a new source/export appears, or request CodeCaptain substitute stock/capital-risk contract	no unless new source/export or substitute contract is requested	yes only for substitute source/capital-risk or production preflight	Phase39 notes no current scripts/validate_inventory_snapshot_freshness.py exists; available exit route is validate_policy_source_freshness plus validate_policy_gate_results for src_ab_db_stock_truth, with validate_inventory_cost_drift and validate_po_dashboard_invariants passing from accepted physical stock authority or reviewed substitute contract; otherwise affected stock outputs remain blocked
B002a_c3_ads_source_truth	STOP	Policy gate ads_source_truth remains BLOCKED; Phase31 proves no local packet candidate can safely clear the 2026-05-22 boundary, and Phase32 only prepared the acquisition boundary/starter without live fetches or materialization.	Owner publication, ads profit	Fetch/build accepted current-as-of ads packets for Meta and Kaspi Marketing DirectAPI through 2026-05-22 only after Phase32 approval/clearance; keep spend visible and do not zero unmapped rows	no until Phase32 live fetch desired	no unless authority conflict	validate_policy_gate_results clears ads_source_truth or affected outputs stay blocked
B002b_c3_cashflow_source_truth	STOP	Phase33 proves src_bank_manual_ingest can clear to FRESH in copied-temp when the C3 registry points to the evidence-only Cash_Balances packet; Phase34 advances copied-temp fact_cashflow_events to 2026-05-21 and keeps fact_cashflow_daily at 2026-05-22, but cashflow_source_truth remains BLOCKED because src_ab_db_cashflow_truth is still STALE under the same-day 2026-05-22 event-table rule.	Owner publication, cash risk	Review/adopt Cash_Balances route and Phase34 event-source proof through CodeCaptain; decide whether no-eligible-event-day evidence can clear May22 event freshness; do not treat payment evidence freshness, bank freshness, or daily-table freshness alone as full cashflow truth	no	yes for no-eligible-event-day source contract before production/preflight	validate_policy_gate_results clears cashflow_source_truth or cash outputs stay blocked
B002c_c3_source_freshness	STOP	Phase29 copied DB clears external PO source rows; Phase30/31/32 keep ads packet rows blocked; Phase33 proves src_bank_manual_ingest can be FRESH under copied Cash_Balances registry route; Phase34 improves src_ab_db_cashflow_truth by advancing copied-temp fact_cashflow_events to 2026-05-21, but full copied-temp source freshness still fails on stale operational child rows plus ads sources: src_ab_db_ads_truth, src_ab_db_cashflow_truth, src_ab_db_order_entry_truth, src_ab_db_order_status_truth, src_ab_db_sales_truth, src_ab_db_stock_truth, src_facebook_ads_external_ads, and src_web_automation_kaspi_marketing_directapi.	All owner publication	Package Phase33/34 cashflow proof plus Phase32 ads acquisition boundary for CodeCaptain; continue exact retained lanes for fresh ads packets, same-day cashflow event contract, and operational child source freshness; no production/source-pointer action	no until Phase32 live fetch or source-pointer lane desired	no unless authority conflict	validate_policy_source_freshness --as-of current and validate_policy_gate_results both clear on copied DB or affected owner-publication outputs stay blocked
B002d_c3_stock_source_truth	STOP	Policy gate stock_source_truth blocked; Phase20 owner fact says no fresher physical stock source currently exists	Stock/PO owner surfaces	Retain stock_source_truth blocker; do not bridge offer availability into physical stock; only a new physical source or reviewed substitute contract can clear it	no unless new source/export or substitute contract is requested	source contract review only if substitute source proposed	validate_policy_gate_results clears stock_source_truth from valid physical stock authority or affected outputs stay blocked
