gate_id	command	scope	expected_artifact	pass_label	fail_label	phase
G001_docs_lint	bash scripts/lint_docs.sh	docs/current and routing docs	lint stdout/stderr	DOCS_LINT_GREEN	DOCS_LINT_RED	Phase 0
G002_no_db_tracked	./scripts/check_no_db_tracked.sh	protected DB/workbook git guard	stdout DB guard OK	NO_DB_TRACKED_GREEN	NO_DB_TRACKED_RED	Phase 0 through production
G003_write_side_gating	python3 scripts/validate_write_side_gating.py --manifest config/write_side_gating_manifest.yaml	write scripts and manifest	stdout/json	WRITE_SIDE_GATING_GREEN	WRITE_SIDE_GATING_RED	Phase 0 through production
G004_source_contract_registry	python3 -m json.tool docs/contracts/mvos_source_contracts/ACTIVE_MVOS_SOURCE_CONTRACT_REGISTRY.json and python3 scripts/validate_mvos_source_contract_registry.py --strict	source contract registry	registry validation stdout/json	SOURCE_REGISTRY_GREEN	SOURCE_REGISTRY_RED	Phase 0/1
G005_source_freshness	python3 scripts/validate_policy_source_freshness.py --db <copied_db> --as-of <YYYY-MM-DD> --strict --json	source freshness on copied DB	SOURCE_FRESHNESS_BLOCKER_MATRIX.tsv or stdout json	SOURCE_FRESHNESS_GREEN	SOURCE_FRESHNESS_BLOCKED	Phase 1/2
G006_policy_gate_results	python3 scripts/validate_policy_gate_results.py --db <copied_db> --strict --json	C3 owner-publication gates	POLICY_GATE_MATRIX.tsv or stdout json	POLICY_GATES_GREEN	POLICY_GATES_BLOCKED	Phase 1/2
G007_order_entry_freshness	python3 scripts/validate_order_entries_freshness.py --db <copied_db> --as-of <YYYY-MM-DD> --lookback-days 14 --stores STOREB,ACMEWEAR,UNIVERSAL --strict	order-entry coverage and identity	ORDER_ENTRY_FRESHNESS_REPORT.json	ORDER_ENTRY_GREEN	ORDER_ENTRY_IDENTITY_OR_COVERAGE_FAIL	Phase 1/2
G008_sales_vs_workbook_anchor	python3 scripts/validate_sales_vs_workbook_anchor.py --db <copied_db> --as-of <YYYY-MM-DD>	sales/workbook anchor	anchor stdout/json	SALES_WORKBOOK_ANCHOR_GREEN	SALES_WORKBOOK_ANCHOR_STALE	Phase 1/2
G009_po_dashboard_invariants	python3 scripts/validate_po_dashboard_invariants.py --db <copied_db> --strict	PO dashboard and stock freshness dependencies	PO_DASHBOARD_INVARIANTS_REPORT.txt	PO_DASHBOARD_GREEN	PO_DASHBOARD_BLOCKED	Phase 1/2
G010_single_truth_system	python3 scripts/validate_single_truth_system.py --db <copied_db> --xlsx <inbound_workbook> --dashboard <po_dashboard_json> --po-part-scope-contract <contract_tsv>	DB/workbook/dashboard single truth	single truth stdout/json	SINGLE_TRUTH_SYSTEM_GREEN	SINGLE_TRUTH_SYSTEM_FAIL	Phase 1/2
