group_id	category	paths_or_patterns	risk	recommended_action
D001	mutable_state_logs	.claude/DECISIONS.md; .claude/PROGRESS.md; .claude/SESSION_LOG.md; .claude/TASKS.md	Mutable state can confuse current authority if treated as business truth	Keep as mutable history; review before commit; do not use as formula/source authority
D002	write_boundary_config	config/ads_active_scope.yaml; config/anchors/kaspi_webui_archive_downloads.json; config/write_side_gating_manifest.yaml	Config/source boundary changes can alter gates or source claims	Review as separate logical batch before production preflight
D003	policy_and_validator_code	core/ops/policy_materialization_c3.py; core/ops/policy_registry_c3.py; core/validation/day_complete.py; scripts/validate_*.py	Validator semantics affect green/yellow/red claims	Commit only with matching tests and evidence; no production claim from dirty state
D004	source_materializers	scripts/playwright/download_kaspi_archive_webui.py; scripts/run_webui_archive_full_parse.py; scripts/run_webui_archive_source_refresh.py; scripts/webui_archive_truth_utils.py; scripts/materialize_copied_temp_source_freshness_bridge.py; scripts/materialize_merchant_cabinet_offer_availability.py	Source acquisition/materialization can cross external/source-pointer boundaries	Keep read-only/copied-temp unless exact owner authority exists
D005	po_dashboard_and_inbound	scripts/generate_po_dashboard_data.py; scripts/sync_po_parts_from_inbound_calendar.py; docs/inventory/INBOUND_CALENDAR_V10_002_PO_PART_TRANSITION_2026-02-07.md	PO/single-truth changes affect capital decisions	Do copied-temp proof first; no PO commitment
D006	authority_docs	docs/inventory/Sales_Data_Model_V16.md; docs/validation/ADS_ACTIVE_SCOPE_CONTRACT.md; docs/validation/DAY_COMPLETE_CONTRACT.md; docs/validation/WEBUI_ARCHIVE_SINGLE_TRUTH_CONTRACT.md; docs/contracts/	Authority docs can supersede behavior if accepted	Keep active candidates visible; require validator alignment before final green
D007	tests	tests/test_*.py	Test changes prove or alter expected behavior	Run focused tests in logical batches; do not treat unrun tests as proof
D008	current_control_layer	docs/current/; docs/parallel_runs/2026-05-21_mvos_phase0_canonical_route/	Phase 0 route is active but uncommitted	Keep as active current layer; safe for Phase 1 routing
D009	handoff_and_run_history	docs/agent_handoffs/MVOS_*; docs/parallel_runs/2026-05-16_*; docs/parallel_runs/2026-05-17_*; docs/parallel_runs/2026-05-18_*; docs/parallel_runs/2026-05-19_*	Historical evidence can bloat repo and confuse active plan	Index via SUPERSEDED_PLAN_INDEX.tsv; do not delete blindly
D010	imports_and_manual_evidence	imports/; docs/marketing/STOREB_ADS_CAMPAIGN_MANUAL_STOP_20260520_094641.md	Manual/source evidence is provenance-sensitive	Park for source-specific Phase 1 agents; do not commit blindly
