status	class	action	path
 M	mutable_agent_state	commit_as_traceable_state	.claude/DECISIONS.md
 M	mutable_agent_state	commit_as_traceable_state	.claude/GOALS.md
 M	mutable_agent_state	commit_as_traceable_state	.claude/ISSUES.md
 M	mutable_agent_state	commit_as_traceable_state	.claude/PROGRESS.md
 M	mutable_agent_state	commit_as_traceable_state	.claude/SESSION_LOG.md
 M	mutable_agent_state	commit_as_traceable_state	.claude/TASKS.md
 M	other	manual_review	.gitignore
 M	mutable_agent_state	commit_as_traceable_state	claude/journal.md
 M	config_other	commit_with_relevant_group	config/ads_active_scope.yaml
 M	config_other	commit_with_relevant_group	config/anchors/kaspi_webui_archive_downloads.json
 M	cash_bank_source_state	commit_with_cashflow_source_truth	config/bank_accounts.yaml
 M	cash_bank_source_state	commit_with_cashflow_source_truth	config/bank_accounts_history.yaml
 M	cash_bank_source_state	commit_with_cashflow_source_truth	config/bank_accounts_history_totals.md
 M	config_other	commit_with_relevant_group	config/write_side_gating_manifest.yaml
 M	ads_source_truth	commit_code_tests_docs	core/ads/__init__.py
 M	ads_source_truth	commit_code_tests_docs	core/ads/active_scope.py
 M	inventory_po_economics	commit_code_tests_docs	core/calc/economics.py
 M	inventory_po_economics	commit_code_tests_docs	core/calc/size_allocation.py
 M	cashflow_order_cash_truth	commit_code_tests_docs	core/cashflow/paid_capital_truth.py
 M	inventory_po_economics	commit_code_tests_docs	core/config/business_params.py
 M	inventory_po_economics	commit_code_tests_docs	core/config/inventory_params.py
 M	other	manual_review	core/db/ledger.py
 M	inventory_po_economics	commit_code_tests_docs	core/excel/dim_sku_light_parser.py
 M	other	manual_review	core/integrations/kaspi_order_stage.py
 M	policy_operational_stock_exception	commit_code_tests_docs	core/ops/waybill_overdue_carryforward.py
 M	inventory_po_economics	commit_code_tests_docs	core/po/recommender.py
 M	sales_lifecycle_truth	commit_code_tests_docs	core/sales/truth_views.py
 M	db_schema	commit_with_schema_group	db/schema.sql
 M	docs_contracts	commit_docs	docs/00_START_HERE.md
 M	docs_contracts	commit_docs	docs/DAILY_SOP.md
 M	docs_contracts	commit_docs	docs/authority/INDEX.md
 M	inventory_po_economics	commit_code_tests_docs	docs/inventory/Automation_Handoff_V16.md
 M	inventory_po_economics	commit_code_tests_docs	docs/inventory/Excel_UI_Contract_for_CRM_V1.md
 M	inventory_po_economics	commit_code_tests_docs	docs/inventory/Master_Inventory_Rules_v9.md
 M	inventory_po_economics	commit_code_tests_docs	docs/inventory/Sales_Data_Model_V16.md
 M	inventory_po_economics	commit_code_tests_docs	docs/inventory/Workflow_SOP_V2.md
 M	docs_contracts	commit_docs	docs/ops/KASPI_DAILY_OPS_WORKFLOW_CONTRACT.md
 M	ads_source_truth	commit_code_tests_docs	docs/validation/ADS_ACTIVE_SCOPE_CONTRACT.md
 M	docs_contracts	commit_docs	docs/validation/BUSINESS_INSIDES_ECONOMICS_PUBLICATION_CONTRACT.md
 M	docs_contracts	commit_docs	docs/validation/KASPI_ARCHIVE_UI_PACK_CONTRACT.md
 M	docs_contracts	commit_docs	docs/validation/OWNER_PNL_PUBLICATION_CONTRACT.md
 M	docs_contracts	commit_docs	docs/validation/SALES_ECONOMICS_TRUTH_CONTRACT.md
 M	docs_contracts	commit_docs	docs/validation/WEBUI_ARCHIVE_SINGLE_TRUTH_CONTRACT.md
D 	local_sensitive_runtime_session	do_not_commit_local_runtime	runtime/playwright/kaspi_webui_archive_session_STOREB.json
D 	local_sensitive_runtime_session	do_not_commit_local_runtime	runtime/playwright/kaspi_webui_archive_session_ACMEWEAR.json
D 	local_sensitive_runtime_session	do_not_commit_local_runtime	runtime/playwright/kaspi_webui_archive_session_UNIVERSAL.json
 M	daily_ops_automation	commit_code_tests_docs	scripts/build_daily_waybills.py
 M	scripts_other	commit_with_relevant_group	scripts/build_north_star_owner_review.py
 M	scripts_other	commit_with_relevant_group	scripts/build_owner_pnl_report.py
 M	scripts_other	commit_with_relevant_group	scripts/build_profit_after_ads.py
 M	scripts_other	commit_with_relevant_group	scripts/generate_business_insides.py
 M	inventory_po_economics	commit_code_tests_docs	scripts/generate_po_dashboard_data.py
 M	cashflow_order_cash_truth	commit_code_tests_docs	scripts/import_cashflow_opening_balances.py
 M	scripts_other	commit_with_relevant_group	scripts/lint_docs.sh
 M	cashflow_order_cash_truth	commit_code_tests_docs	scripts/rebuild_cashflow_calendar.py
 M	sales_lifecycle_truth	commit_code_tests_docs	scripts/rebuild_sales_fact_v2_from_kaspi_entries.py
 M	scripts_other	commit_with_relevant_group	scripts/rebuild_snapshot.py
 M	scripts_other	commit_with_relevant_group	scripts/reconcile_ledger_to_snapshot.py
 M	scripts_other	commit_with_relevant_group	scripts/returns_pickup_report.py
 M	scripts_other	commit_with_relevant_group	scripts/run_strict_daily_preflight.py
 M	daily_ops_automation	commit_code_tests_docs	scripts/send_waybills_telegram.py
 M	inventory_po_economics	commit_code_tests_docs	scripts/sync_dim_sku_from_dim_sku_light.py
 M	daily_ops_automation	commit_code_tests_docs	scripts/sync_google_ops_board.py
 M	inventory_po_economics	commit_code_tests_docs	scripts/sync_po_parts_from_inbound_calendar.py
 M	scripts_other	commit_with_relevant_group	scripts/sync_truth_workbook_to_db.py
 M	cashflow_order_cash_truth	commit_code_tests_docs	scripts/translate_orders_to_cashflow_events.py
 M	ads_source_truth	commit_code_tests_docs	scripts/validate_ads_offer_universe_coverage.py
 M	ads_source_truth	commit_code_tests_docs	scripts/validate_ads_sidecar_readiness.py
 M	inventory_po_economics	commit_code_tests_docs	scripts/validate_dim_sku_light_alignment.py
 M	inventory_po_economics	commit_code_tests_docs	scripts/validate_inventory_cost_drift.py
 M	inventory_po_economics	commit_code_tests_docs	scripts/validate_size_allocation.py
 M	daily_ops_automation	commit_code_tests_docs	scripts/waybill_telegram_control_bot.py
 M	scripts_other	commit_with_relevant_group	scripts/webui_archive_truth_utils.py
 M	ads_source_truth	commit_code_tests_docs	tests/test_ads_effective_cost_policy.py
 M	daily_ops_automation	commit_code_tests_docs	tests/test_build_daily_waybills.py
 M	tests_other	commit_with_relevant_group	tests/test_build_north_star_owner_review.py
 M	tests_other	commit_with_relevant_group	tests/test_build_owner_pnl_report.py
 M	tests_other	commit_with_relevant_group	tests/test_build_profit_after_ads.py
 M	tests_other	commit_with_relevant_group	tests/test_business_params.py
 M	cashflow_order_cash_truth	commit_code_tests_docs	tests/test_cashflow_rebuild_idempotent.py
 M	cashflow_order_cash_truth	commit_code_tests_docs	tests/test_cashflow_translator.py
 M	inventory_po_economics	commit_code_tests_docs	tests/test_dim_sku_light_parser.py
 M	inventory_po_economics	commit_code_tests_docs	tests/test_dim_sku_weight_write_guard.py
 M	daily_ops_automation	commit_code_tests_docs	tests/test_google_ops_board.py
 M	inventory_po_economics	commit_code_tests_docs	tests/test_po_formulas.py
 M	tests_other	commit_with_relevant_group	tests/test_profit_after_ads.py
 M	tests_other	commit_with_relevant_group	tests/test_profit_after_ads_contract.py
 M	tests_other	commit_with_relevant_group	tests/test_run_strict_daily_preflight.py
 M	sales_lifecycle_truth	commit_code_tests_docs	tests/test_sales_truth_views.py
 M	daily_ops_automation	commit_code_tests_docs	tests/test_send_waybills_telegram.py
 M	inventory_po_economics	commit_code_tests_docs	tests/test_size_allocation.py
 M	inventory_po_economics	commit_code_tests_docs	tests/test_sync_dim_sku_from_dim_sku_light.py
 M	inventory_po_economics	commit_code_tests_docs	tests/test_sync_po_parts_from_inbound_calendar.py
 M	inventory_po_economics	commit_code_tests_docs	tests/test_sync_po_parts_parser_guard.py
 M	tests_other	commit_with_relevant_group	tests/test_validate_ads_offer_universe_coverage.py
 M	tests_other	commit_with_relevant_group	tests/test_validate_ads_sidecar_readiness.py
 M	tests_other	commit_with_relevant_group	tests/test_validate_ads_spend_reality.py
 M	inventory_po_economics	commit_code_tests_docs	tests/test_validate_dim_sku_light_alignment.py
 M	inventory_po_economics	commit_code_tests_docs	tests/test_validate_inventory_cost_drift.py
 M	daily_ops_automation	commit_code_tests_docs	tests/test_waybill_telegram_control_bot.py
??	cash_bank_source_state	commit_with_cashflow_source_truth	config/bank_accounts_manual_ingest_3.5.2026.yaml
??	daily_ops_automation	commit_code_tests_docs	config/business_automation_manifest.json
??	config_other	commit_with_relevant_group	config/com.example.operational-stock-daily-truth.plist
??	config_other	commit_with_relevant_group	config/operational_decision_policy.yaml
??	config_other	commit_with_relevant_group	config/tmux_orchestrator_live_visibility_enabled.md
??	config_other	commit_with_relevant_group	config/tmux_orchestrator_pings_disabled.flag.archived_20260512_123253_receiver_only_proof
??	config_other	commit_with_relevant_group	config/tmux_orchestrator_receiver_only_pings_enabled.flag
??	ads_source_truth	commit_code_tests_docs	core/ads/canonical_truth.py
??	ads_source_truth	commit_code_tests_docs	core/ads/source_packet_contract.py
??	cashflow_order_cash_truth	commit_code_tests_docs	core/cashflow/kaspi_pay_cash_anchor.py
??	cashflow_order_cash_truth	commit_code_tests_docs	core/cashflow/order_cashflow_validation.py
??	policy_operational_stock_exception	commit_code_tests_docs	core/ops/operational_stock_daily_truth_runner.py
